pair,src_word,tgt_word,src_freq,tgt_freq,src_coh,tgt_coh,min_freq,min_coh
eng-tsn,rights,ditshwanelo,41,43,0.8467,0.8834,41,0.8467
eng-tsn,day,letsatsi,53,79,0.796,0.8808,53,0.796
eng-tsn,work,tiro,165,225,0.8235,0.7481,165,0.7481
eng-tsn,night,bosigo,3,7,0.8883,0.8496,3,0.8496
eng-tsn,mother,mma,6,6,0.8962,0.8142,6,0.8142
eng-tsn,community,sechaba,60,0,0.9087,0.8413,0,0.8413
eng-tsn,rain,pula,0,9,0.8721,0.8303,0,0.8303
eng-tsn,city,motse,11,7,0.885,0.8226,7,0.8226
eng-tsn,education,thuto,66,80,0.9198,0.8661,66,0.8661
eng-tsn,fish,tlhapi,0,0,0.8665,0.9112,0,0.8665
eng-tsn,medicine,kalafi,0,23,0.826,0.8179,0,0.8179
eng-tsn,hospital,sepetlele,33,15,0.8825,0.8794,15,0.8794
eng-tsn,bread,bogobe,0,0,0.8759,0.8908,0,0.8759
eng-tsn,president,moporesitente,58,45,0.9501,0.9616,45,0.9501
eng-tsn,moon,ngwedi,0,0,0.8796,0.827,0,0.827
